District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Lag_Price,Rolling_Rainfall
11,1600,0,07-01-2023,2023,1,20086.58,104.9,1500,55.23333333
14,1150,0.161538462,07-01-2023,2023,1,20086.58,104.9,650,135.0358974
21,1500,0,07-01-2023,2023,1,20086.58,104.9,1600,71.07575758
8,1200,0,07-01-2023,2023,1,20086.58,104.9,1400,7.566666667
14,2000,0.161538462,07-01-2023,2023,1,20086.58,104.9,2000,45.93846154
13,1400,0.777777778,07-01-2023,2023,1,20086.58,104.9,1400,100.4074074
12,1500,0,07-01-2023,2023,1,20086.58,104.9,4000,243.9102564
2,2300,0,07-01-2023,2023,1,20086.58,104.9,2300,110.7027778
7,1500,0,07-01-2023,2023,1,20086.58,104.9,1400,0
0,2800,0,08-01-2021,2021,1,13155.95,84.34,2800,0
0,3000,0,08-01-2021,2021,1,13155.95,84.34,2800,134.1083333
2,2300,1.75,08-01-2021,2021,1,13155.95,84.34,2200,1.166666667
2,2000,1.75,08-01-2021,2021,1,13155.95,84.34,1900,166.5388889
6,2000,0,08-01-2021,2021,1,13155.95,84.34,1500,157.5487179
9,3200,0,08-01-2021,2021,1,13155.95,84.34,3100,140.6666667
11,2000,11.14,08-01-2021,2021,1,13155.95,84.34,2000,115.4733333
13,2200,0,08-01-2021,2021,1,13155.95,84.34,2100,0
23,1800,6.433333333,08-01-2021,2021,1,13155.95,84.34,1800,13.25074074
3,1700,0,08-01-2021,2021,1,13155.95,84.34,1700,241.4571429
7,2500,0,08-01-2021,2021,1,13155.95,84.34,2000,1.8
7,2500,0,08-01-2021,2021,1,13155.95,84.34,2400,66.25416667
7,2500,0,08-01-2021,2021,1,13155.95,84.34,2500,73.425
13,2200,0,08-01-2021,2021,1,13155.95,84.34,1900,0
13,1900,0,08-01-2021,2021,1,13155.95,84.34,1500,146.8518519
7,2500,0,08-01-2021,2021,1,13155.95,84.34,2500,55.7875
13,2000,0,08-01-2021,2021,1,13155.95,84.34,1500,228.4444444
8,2000,2.209090909,08-01-2021,2021,1,13155.95,84.34,2000,82.57272727
13,2200,0,08-01-2021,2021,1,13155.95,84.34,2000,0
13,2000,0,08-01-2021,2021,1,13155.95,84.34,1600,106.8888889
14,2500,0.592307692,08-01-2021,2021,1,13155.95,84.34,2500,1.623076923
20,1500,0,08-01-2021,2021,1,13155.95,84.34,1500,19.32666667
13,1900,0,08-01-2021,2021,1,13155.95,84.34,1600,179.7777778
20,1600,0,08-01-2021,2021,1,13155.95,84.34,1200,2.9125
1,1100,0,08-01-2021,2021,1,13155.95,84.34,1100,0
1,1350,0,08-01-2021,2021,1,13155.95,84.34,1350,19.79444444
0,2000,0,08-01-2023,2023,1,20086.58,104.9,1800,148.325
9,900,0,08-01-2023,2023,1,20086.58,104.9,850,13.325
20,2200,0,08-01-2023,2023,1,20086.58,104.9,2100,90.12666667
2,2200,0,08-01-2023,2023,1,20086.58,104.9,2100,222.5222222
7,1400,0,08-01-2023,2023,1,20086.58,104.9,1400,20.84166667
