District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Day,Weekday,Quarter,Fertilizer_Rainfall_Interaction,Lag_Price,Monthly_Avg_Price,Rolling_Rainfall
0,2000,33.425,2023-05-25,2023,5,20000.0,101.88,25,3,2,668500.0,2000.0,2014.7058823529412,23.866666666666664
0,2000,145.675,2021-06-07,2021,6,15319.2,95.22,7,0,2,2231624.4600000004,2000.0,1946.6666666666667,60.50416666666666
0,2000,145.675,2021-06-14,2021,6,15319.2,95.22,14,0,2,2231624.4600000004,2000.0,1946.6666666666667,108.25833333333333
0,2000,35.7625,2021-11-20,2021,11,16768.55,110.69,20,5,4,599685.269375,2000.0,1964.1509433962265,109.03750000000001
0,2200,125.575,2023-10-09,2023,10,20000.0,103.18,9,0,4,2511500.0,2000.0,2028.5714285714287,102.33749999999999
0,2500,100.4875,2022-09-12,2022,9,20000.0,103.01,12,0,3,2009750.0,2200.0,2493.478260869565,87.27499999999999
0,2500,100.4875,2022-09-30,2022,9,20000.0,103.01,30,4,3,2009750.0,2500.0,2493.478260869565,201.1
2,800,4.583333333333333,2021-03-15,2021,3,13603.08,91.9,15,0,1,62347.45,2500.0,1694.871794871795,169.13194444444443
2,1600,1.75,2021-01-11,2021,1,13155.95,84.34,11,0,1,23022.912500000002,1000.0,1994.7368421052631,3.0527777777777776
2,1800,0.0,2023-11-20,2023,11,20000.0,102.64,20,0,4,0.0,1600.0,1915.625,1.5250000000000001
1,1100,34.75,2021-04-11,2021,4,14823.51,91.28,11,6,2,515116.97250000003,900.0,1038.7323943661972,11.583333333333334
1,1250,456.0583333333333,2021-09-10,2021,9,16213.6,102.18,10,4,3,7394347.393333333,1100.0,954.2857142857143,163.60277777777776
1,1250,34.75,2021-04-17,2021,4,14823.51,91.28,17,5,2,515116.97250000003,1250.0,1038.7323943661972,175.1861111111111
1,1400,58.46666666666667,2021-12-01,2021,12,17436.76,101.81,1,2,4,1019469.2346666666,1250.0,1275.6410256410256,183.09166666666667
1,1450,342.2166666666667,2021-05-19,2021,5,15295.14,91.12,19,2,2,5234251.8270000005,1450.0,1250.735294117647,205.63055555555556
6,1200,22.31538461538462,2021-04-05,2021,4,14823.51,91.28,5,0,2,330792.32700000005,1450.0,1137.1929824561403,193.58012820512818
6,1500,202.1230769230769,2021-05-01,2021,5,15295.14,91.12,1,5,2,3091500.75876923,1200.0,1586.9565217391305,188.88504273504273
6,1500,22.31538461538462,2021-04-14,2021,4,14823.51,91.28,14,2,2,330792.32700000005,1500.0,1137.1929824561403,74.81282051282051
6,1500,15.55384615384615,2021-03-21,2021,3,13603.08,91.9,21,6,1,211580.21353846148,1500.0,906.9014084507043,12.623076923076923
6,1500,15.55384615384615,2021-03-25,2021,3,13603.08,91.9,25,3,1,211580.21353846148,1500.0,906.9014084507043,17.807692307692307
6,1500,0.0,2021-01-20,2021,1,13155.95,84.34,20,2,1,0.0,1500.0,1914.2857142857142,10.369230769230766
6,1500,93.30769230769232,2021-10-04,2021,10,16386.48,102.76,4,0,4,1528984.633846154,1500.0,1900.0,36.28717948717949
6,1500,581.3307692307694,2021-09-23,2021,9,16213.6,102.18,23,3,3,9425464.560000002,1500.0,1555.5555555555557,224.87948717948726
